Enhetsnamn,Rn-sniffer
Enhets-SN,HA02EQ000142
Radonenhet,Bq/m3
Antal data,2260
Varaktighet,01/09/2024 ~ 30/11/2024
Mättid,Radonavläsning per timme
24/09/2024 19:38,271
24/09/2024 20:38,195
24/09/2024 21:38,189
24/09/2024 22:38,243
24/09/2024 23:38,258
25/09/2024 00:38,195
25/09/2024 01:38,220
25/09/2024 02:38,215
25/09/2024 03:38,228
25/09/2024 04:38,187
25/09/2024 05:38,206
25/09/2024 06:38,245
25/09/2024 07:38,200
25/09/2024 08:38,235
25/09/2024 09:38,232
25/09/2024 10:38,213
25/09/2024 11:38,200
25/09/2024 12:38,165
25/09/2024 13:38,193
25/09/2024 14:38,200
25/09/2024 15:38,189
25/09/2024 16:38,149
25/09/2024 17:38,164
25/09/2024 18:38,72
25/09/2024 19:38,54
25/09/2024 20:38,99
25/09/2024 21:38,135
25/09/2024 22:38,145
25/09/2024 23:38,187
26/09/2024 00:38,211
26/09/2024 02:14,169
26/09/2024 03:14,232
26/09/2024 04:14,230
26/09/2024 05:14,224
26/09/2024 06:14,248
26/09/2024 07:14,258
26/09/2024 08:14,228
26/09/2024 09:14,241
26/09/2024 10:14,222
26/09/2024 11:14,198
26/09/2024 12:14,208
26/09/2024 13:14,211
26/09/2024 14:14,204
26/09/2024 15:14,197
26/09/2024 16:14,219
26/09/2024 17:14,226
26/09/2024 18:14,209
26/09/2024 19:14,239
26/09/2024 20:14,215
26/09/2024 21:14,206
26/09/2024 22:14,206
26/09/2024 23:14,209
27/09/2024 00:14,195
27/09/2024 01:14,193
27/09/2024 02:14,122
27/09/2024 03:14,184
27/09/2024 04:14,176
27/09/2024 05:14,187
27/09/2024 06:14,175
27/09/2024 07:14,191
27/09/2024 08:14,200
27/09/2024 09:14,195
27/09/2024 10:14,169
27/09/2024 11:14,151
27/09/2024 12:14,117
27/09/2024 13:14,108
27/09/2024 14:14,95
27/09/2024 15:14,108
27/09/2024 16:14,117
27/09/2024 17:14,84
27/09/2024 18:14,58
27/09/2024 19:14,65
27/09/2024 20:14,65
27/09/2024 21:14,51
27/09/2024 22:14,84
27/09/2024 23:14,99
28/09/2024 00:14,111
28/09/2024 01:14,138
28/09/2024 02:14,167
28/09/2024 03:14,155
28/09/2024 04:14,178
28/09/2024 05:14,115
28/09/2024 06:14,204
28/09/2024 07:14,186
28/09/2024 08:14,200
28/09/2024 09:14,222
28/09/2024 10:14,224
28/09/2024 11:14,228
28/09/2024 12:14,162
28/09/2024 13:14,109
28/09/2024 14:14,95
28/09/2024 15:14,99
28/09/2024 16:14,81
28/09/2024 17:14,63
28/09/2024 18:14,61
28/09/2024 19:14,65
28/09/2024 20:14,70
28/09/2024 21:14,79
28/09/2024 22:14,81
28/09/2024 23:14,106
29/09/2024 00:14,83
29/09/2024 01:14,86
29/09/2024 02:14,106
29/09/2024 03:14,93
29/09/2024 04:14,135
29/09/2024 05:14,115
29/09/2024 06:14,142
29/09/2024 07:14,118
29/09/2024 08:14,133
29/09/2024 09:14,164
29/09/2024 10:14,129
29/09/2024 11:14,93
29/09/2024 12:14,65
29/09/2024 13:14,33
29/09/2024 14:14,49
29/09/2024 15:14,14
29/09/2024 16:14,19
29/09/2024 17:14,16
29/09/2024 18:14,16
29/09/2024 19:14,21
29/09/2024 20:14,37
29/09/2024 21:14,44
29/09/2024 22:14,65
29/09/2024 23:14,83
30/09/2024 00:14,83
30/09/2024 01:14,111
30/09/2024 02:14,118
30/09/2024 03:14,142
30/09/2024 04:14,135
30/09/2024 05:14,164
30/09/2024 06:14,167
30/09/2024 07:14,171
30/09/2024 08:14,184
30/09/2024 09:14,208
30/09/2024 10:14,169
30/09/2024 11:14,155
30/09/2024 12:14,144
30/09/2024 13:14,133
30/09/2024 14:14,175
30/09/2024 15:14,136
30/09/2024 16:14,173
30/09/2024 17:14,158
30/09/2024 18:14,173
30/09/2024 19:14,160
30/09/2024 20:14,162
30/09/2024 21:14,153
30/09/2024 22:14,165
30/09/2024 23:14,140
01/10/2024 00:14,145
01/10/2024 01:14,135
01/10/2024 02:14,167
01/10/2024 03:14,191
01/10/2024 04:14,149
01/10/2024 05:14,198
01/10/2024 06:14,149
01/10/2024 07:14,184
01/10/2024 08:14,197
01/10/2024 09:14,156
01/10/2024 10:14,147
01/10/2024 11:14,158
01/10/2024 12:14,178
01/10/2024 13:14,197
01/10/2024 14:14,176
01/10/2024 15:14,182
01/10/2024 16:14,171
01/10/2024 17:14,117
01/10/2024 18:14,92
01/10/2024 19:14,83
01/10/2024 20:14,95
01/10/2024 21:14,97
01/10/2024 22:14,118
01/10/2024 23:14,99
02/10/2024 00:14,133
02/10/2024 01:14,135
02/10/2024 02:14,140
02/10/2024 03:14,142
02/10/2024 04:14,129
02/10/2024 05:14,167
02/10/2024 06:14,126
02/10/2024 07:14,151
02/10/2024 08:14,147
02/10/2024 09:14,171
02/10/2024 10:14,144
02/10/2024 11:14,129
02/10/2024 12:14,115
02/10/2024 13:14,117
02/10/2024 14:14,106
02/10/2024 15:14,142
02/10/2024 16:14,127
02/10/2024 17:14,97
02/10/2024 18:14,129
02/10/2024 19:14,113
02/10/2024 20:14,136
02/10/2024 21:14,165
02/10/2024 22:14,180
02/10/2024 23:14,158
03/10/2024 00:14,171
03/10/2024 01:14,147
03/10/2024 02:14,145
03/10/2024 03:14,184
03/10/2024 04:14,162
03/10/2024 05:14,147
03/10/2024 06:14,176
03/10/2024 07:14,145
03/10/2024 08:14,156
03/10/2024 09:14,147
03/10/2024 10:14,167
03/10/2024 11:14,160
03/10/2024 12:14,176
03/10/2024 13:14,165
03/10/2024 14:14,158
03/10/2024 15:14,131
03/10/2024 16:14,155
03/10/2024 17:14,149
03/10/2024 18:14,104
03/10/2024 19:14,79
03/10/2024 20:14,118
03/10/2024 21:14,117
03/10/2024 22:14,149
03/10/2024 23:14,155
04/10/2024 00:14,133
04/10/2024 01:14,140
04/10/2024 02:14,155
04/10/2024 03:14,200
04/10/2024 04:14,198
04/10/2024 05:14,184
04/10/2024 06:14,175
04/10/2024 07:14,220
04/10/2024 08:14,191
04/10/2024 09:14,224
04/10/2024 10:14,186
04/10/2024 11:14,189
04/10/2024 12:14,176
04/10/2024 13:14,147
04/10/2024 14:14,169
04/10/2024 15:14,178
04/10/2024 16:14,153
04/10/2024 17:14,74
04/10/2024 18:14,56
04/10/2024 19:14,47
04/10/2024 20:14,65
04/10/2024 21:14,102
04/10/2024 22:14,144
04/10/2024 23:14,165
05/10/2024 00:14,182
05/10/2024 01:14,219
05/10/2024 02:14,189
05/10/2024 03:14,193
05/10/2024 04:14,220
05/10/2024 05:14,267
05/10/2024 06:14,252
05/10/2024 07:14,263
05/10/2024 08:14,232
